ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1979-01-01,351231.00719972054,204173.80140966672,322890.4761183152,351231.00719972054,351231.00719972054,-89510.23795742678,-89510.23795742678,-89510.23795742678,-89510.23795742678,-89510.23795742678,-89510.23795742678,0.0,0.0,0.0,261720.76924229375
1980-01-01,385107.0556010465,239847.75166034861,352459.05483167147,385107.0556010465,385107.0556010465,-90107.08421444487,-90107.08421444487,-90107.08421444487,-90107.08421444487,-90107.08421444487,-90107.08421444487,0.0,0.0,0.0,294999.9713866016
1981-01-01,419075.9150938829,278445.6593408497,386846.40231474035,419075.9150938829,419075.9150938829,-87244.02919470784,-87244.02919470784,-87244.02919470784,-87244.02919470784,-87244.02919470784,-87244.02919470784,0.0,0.0,0.0,331831.8858991751
1982-01-01,452951.9634930832,308582.81428896,420705.49121727835,452951.9634930832,452951.9634930832,-88555.21944900807,-88555.21944900807,-88555.21944900807,-88555.21944900807,-88555.21944900807,-88555.21944900807,0.0,0.0,0.0,364396.74404407514
1983-01-01,486828.01189228357,341037.3115489792,452483.19692866504,486828.01189228357,486828.01189228357,-89510.23795742619,-89510.23795742619,-89510.23795742619,-89510.23795742619,-89510.23795742619,-89510.23795742619,0.0,0.0,0.0,397317.7739348574
1984-01-01,520704.06028644607,374935.7202471912,484735.2639879363,520704.06028644607,520704.06028644607,-90107.08421444496,-90107.08421444496,-90107.08421444496,-90107.08421444496,-90107.08421444496,-90107.08421444496,0.0,0.0,0.0,430596.9760720011
1985-01-01,554672.919778596,409731.7054687756,527737.589049242,554672.919778596,554672.919778596,-87244.0291947091,-87244.0291947091,-87244.0291947091,-87244.0291947091,-87244.0291947091,-87244.0291947091,0.0,0.0,0.0,467428.89058388694
1986-01-01,588548.9681792376,443222.56250778877,556174.4690533172,588548.9681792376,588548.9681792376,-88555.21944900975,-88555.21944900975,-88555.21944900975,-88555.21944900975,-88555.21944900975,-88555.21944900975,0.0,0.0,0.0,499993.7487302278
1987-01-01,622421.5336311116,477077.53522732644,589402.0049644974,622421.5336311116,622421.5336311116,-89510.23795742466,-89510.23795742466,-89510.23795742466,-89510.23795742466,-89510.23795742466,-89510.23795742466,0.0,0.0,0.0,532911.295673687
1988-01-01,656294.0990829857,511212.2490869733,625792.0955657049,656294.0990829857,656294.0990829857,-90107.08421444417,-90107.08421444417,-90107.08421444417,-90107.08421444417,-90107.08421444417,-90107.08421444417,0.0,0.0,0.0,566187.0148685415
1989-01-01,690246.4220174289,547439.4522630607,660851.4880715347,690246.4220174289,690246.4220174289,-87244.02919470501,-87244.02919470501,-87244.02919470501,-87244.02919470501,-87244.02919470501,-87244.02919470501,0.0,0.0,0.0,603002.3928227238
1990-01-01,724105.9790422155,580277.8081908275,690108.2877608248,724105.9790422155,724105.9790422155,-88555.21944900768,-88555.21944900768,-88555.21944900768,-88555.21944900768,-88555.21944900768,-88555.21944900768,0.0,0.0,0.0,635550.7595932079
1991-01-01,757950.7034512844,612041.9375389639,722238.8474483634,757950.7034512844,757950.7034512844,-89510.2379574276,-89510.2379574276,-89510.2379574276,-89510.2379574276,-89510.2379574276,-89510.2379574276,0.0,0.0,0.0,668440.4654938568
1992-01-01,791774.8219960755,647279.4330555062,755115.4031893306,791774.8219960755,791774.8219960755,-90107.08421444362,-90107.08421444362,-90107.08421444362,-90107.08421444362,-90107.08421444362,-90107.08421444362,0.0,0.0,0.0,701667.7377816319
1993-01-01,825691.6093587973,680669.4518848833,792363.16079346,825691.6093587973,825691.6093587973,-87244.02919470648,-87244.02919470648,-87244.02919470648,-87244.02919470648,-87244.02919470648,-87244.02919470648,0.0,0.0,0.0,738447.5801640908
1994-01-01,837380.8099820551,692410.0794115309,806924.3815995452,837380.8099820551,837380.8099820551,-88555.21944900815,-88555.21944900815,-88555.21944900815,-88555.21944900815,-88555.21944900815,-88555.21944900815,0.0,0.0,0.0,748825.590533047
1995-01-01,849070.0106053128,699068.664497325,815520.4607957052,849070.0106053128,849070.0106053128,-89510.23795742741,-89510.23795742741,-89510.23795742741,-89510.23795742741,-89510.23795742741,-89510.23795742741,0.0,0.0,0.0,759559.7726478854
1996-01-01,860750.5354537115,717143.6579262072,824247.7089594409,860750.5354537115,860750.5354537115,-90107.08421444336,-90107.08421444336,-90107.08421444336,-90107.08421444336,-90107.08421444336,-90107.08421444336,0.0,0.0,0.0,770643.4512392682
